file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,26
style.css,54,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,40
style.css,55,css,1b72bf02,danielbirman28,2025-01-24,21:16:04,-08:00,2025-01-24T21:16:04-08:00,0,41
style.css,56,css,1b72bf02,danielbirman28,2025-01-24,21:16:04,-08:00,2025-01-24T21:16:04-08:00,0,41
style.css,57,css,12b85f4d,danielbirman28,2025-01-24,16:04:22,-08:00,2025-01-24T16:04:22-08:00,0,76
style.css,58,css,1b72bf02,danielbirman28,2025-01-24,21:16:04,-08:00,2025-01-24T21:16:04-08:00,0,42
style.css,59,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,0
style.css,60,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,0
style.css,61,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,5
style.css,62,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,8
style.css,63,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,7
style.css,64,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,13
style.css,65,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,66,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,67,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,13
style.css,68,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,10
style.css,69,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,13
style.css,70,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,12
style.css,71,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,14
style.css,72,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,73,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,74,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,10
style.css,75,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,14
style.css,76,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,11
style.css,77,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,22
style.css,78,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,79,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,80,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,11
style.css,81,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,19
style.css,82,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,3
style.css,83,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,84,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,85,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,5
style.css,86,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,13
style.css,87,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,31
style.css,88,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,8
style.css,89,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,90,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,91,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,11
